GSM4007051	MV411.0nM.DMSO.d1.n1
GSM4007052	MV411.400nM.GSK032.d1.n1
GSM4007053	MV411.400nM.DAC.d1.n1
GSM4007054	MV411.0nM.DMSO.d2.n1
GSM4007055	MV411.400nM.GSK032.d2.n1
GSM4007056	MV411.400nM.DAC.d2.n1
GSM4007057	MV411.1000nM.GSK862.d2.n1
GSM4007058	MV411.10000nM.GSK477.d2.n1
GSM4007059	MV411.0nM.DMSO.d4.n1
GSM4007060	MV411.3.2nM.GSK032.d4.n1
GSM4007061	MV411.16nM.GSK032.d4.n1
GSM4007062	MV411.80nM.GSK032.d4.n1
GSM4007063	MV411.400nM.GSK032.d4.n1
GSM4007064	MV411.2000nM.GSK032.d4.n1
GSM4007065	MV411.10000nM.GSK032.d4.n1
GSM4007066	MV411.3.2nM.DAC.d4.n1
GSM4007067	MV411.16nM.DAC.d4.n1
GSM4007068	MV411.80nM.DAC.d4.n1
GSM4007069	MV411.400nM.DAC.d4.n1
GSM4007070	MV411.2000nM.DAC.d4.n1
GSM4007071	MV411.10000nM.DAC.d4.n1
GSM4007072	MV411.1000nM.GSK862.d4.n1
GSM4007073	MV411.10000nM.GSK477.d4.n1
GSM4007074	MV411.0nM.DMSO.d6.n1
GSM4007075	MV411.400nM.GSK032.d6.n1
GSM4007076	MV411.400nM.DAC.d6.n1
GSM4007077	THP1.0nM.DMSO.d1.n1
GSM4007078	THP1.400nM.GSK032.d1.n1
GSM4007079	THP1.400nM.DAC.d1.n1
GSM4007080	THP1.0nM.DMSO.d2.n1
GSM4007081	THP1.400nM.GSK032.d2.n1
GSM4007082	THP1.400nM.DAC.d2.n1
GSM4007083	THP1.1000nM.GSK862.d2.n1
GSM4007084	THP1.10000nM.GSK477.d2.n1
GSM4007085	THP1.0nM.DMSO.d4.n1
GSM4007086	THP1.3.2nM.GSK032.d4.n1
GSM4007087	THP1.16nM.GSK032.d4.n1
GSM4007088	THP1.80nM.GSK032.d4.n1
GSM4007089	THP1.400nM.GSK032.d4.n1
GSM4007090	THP1.2000nM.GSK032.d4.n1
GSM4007091	THP1.10000nM.GSK032.d4.n1
GSM4007092	THP1.3.2nM.DAC.d4.n1
GSM4007093	THP1.16nM.DAC.d4.n1
GSM4007094	THP1.80nM.DAC.d4.n1
GSM4007095	THP1.400nM.DAC.d4.n1
GSM4007096	THP1.2000nM.DAC.d4.n1
GSM4007097	THP1.10000nM.DAC.d4.n1
GSM4007098	THP1.1000nM.GSK862.d4.n1
GSM4007099	THP1.10000nM.GSK477.d4.n1
GSM4007100	THP1.0nM.DMSO.d6.n1
GSM4007101	THP1.400nM.GSK032.d6.n1
GSM4007102	THP1.400nM.DAC.d6.n1
GSM4007103	NOMO1.0nM.DMSO.d1.n1
GSM4007104	NOMO1.400nM.GSK032.d1.n1
GSM4007105	NOMO1.400nM.DAC.d1.n1
GSM4007106	NOMO1.0nM.DMSO.d2.n1
GSM4007107	NOMO1.400nM.GSK032.d2.n1
GSM4007108	NOMO1.400nM.DAC.d2.n1
GSM4007109	NOMO1.1000nM.GSK862.d2.n1
GSM4007110	NOMO1.10000nM.GSK477.d2.n1
GSM4007111	NOMO1.0nM.DMSO.d4.n1
GSM4007112	NOMO1.3.2nM.GSK032.d4.n1
GSM4007113	NOMO1.16nM.GSK032.d4.n1
GSM4007114	NOMO1.80nM.GSK032.d4.n1
GSM4007115	NOMO1.400nM.GSK032.d4.n1
GSM4007116	NOMO1.2000nM.GSK032.d4.n1
GSM4007117	NOMO1.10000nM.GSK032.d4.n1
GSM4007118	NOMO1.3.2nM.DAC.d4.n1
GSM4007119	NOMO1.16nM.DAC.d4.n1
GSM4007120	NOMO1.80nM.DAC.d4.n1
GSM4007121	NOMO1.400nM.DAC.d4.n1
GSM4007122	NOMO1.2000nM.DAC.d4.n1
GSM4007123	NOMO1.10000nM.DAC.d4.n1
GSM4007124	NOMO1.1000nM.GSK862.d4.n1
GSM4007125	NOMO1.10000nM.GSK477.d4.n1
GSM4007126	NOMO1.0nM.DMSO.d6.n1
GSM4007127	NOMO1.400nM.GSK032.d6.n1
GSM4007128	NOMO1.400nM.DAC.d6.n1
GSM4007129	MV411.0nM.DMSO.d1.n2
GSM4007130	MV411.400nM.GSK032.d1.n2
GSM4007131	MV411.400nM.DAC.d1.n2
GSM4007132	MV411.0nM.DMSO.d2.n2
GSM4007133	MV411.400nM.GSK032.d2.n2
GSM4007134	MV411.400nM.DAC.d2.n2
GSM4007135	MV411.1000nM.GSK862.d2.n2
GSM4007136	MV411.10000nM.GSK477.d2.n2
GSM4007137	MV411.0nM.DMSO.d4.n2
GSM4007138	MV411.3.2nM.GSK032.d4.n2
GSM4007139	MV411.16nM.GSK032.d4.n2
GSM4007140	MV411.80nM.GSK032.d4.n2
GSM4007141	MV411.400nM.GSK032.d4.n2
GSM4007142	MV411.2000nM.GSK032.d4.n2
GSM4007143	MV411.10000nM.GSK032.d4.n2
GSM4007144	MV411.3.2nM.DAC.d4.n2
GSM4007145	MV411.16nM.DAC.d4.n2
GSM4007146	MV411.80nM.DAC.d4.n2
GSM4007147	MV411.400nM.DAC.d4.n2
GSM4007148	MV411.2000nM.DAC.d4.n2
GSM4007149	MV411.10000nM.DAC.d4.n2
GSM4007150	MV411.1000nM.GSK862.d4.n2
GSM4007151	MV411.10000nM.GSK477.d4.n2
GSM4007152	MV411.0nM.DMSO.d6.n2
GSM4007153	MV411.400nM.GSK032.d6.n2
GSM4007154	MV411.400nM.DAC.d6.n2
GSM4007155	THP1.0nM.DMSO.d1.n2
GSM4007156	THP1.400nM.GSK032.d1.n2
GSM4007157	THP1.400nM.DAC.d1.n2
GSM4007158	THP1.0nM.DMSO.d2.n2
GSM4007159	THP1.400nM.GSK032.d2.n2
GSM4007160	THP1.400nM.DAC.d2.n2
GSM4007161	THP1.1000nM.GSK862.d2.n2
GSM4007162	THP1.10000nM.GSK477.d2.n2
GSM4007163	THP1.0nM.DMSO.d4.n2
GSM4007164	THP1.3.2nM.GSK032.d4.n2
GSM4007165	THP1.16nM.GSK032.d4.n2
GSM4007166	THP1.80nM.GSK032.d4.n2
GSM4007167	THP1.400nM.GSK032.d4.n2
GSM4007168	THP1.2000nM.GSK032.d4.n2
GSM4007169	THP1.10000nM.GSK032.d4.n2
GSM4007170	THP1.3.2nM.DAC.d4.n2
GSM4007171	THP1.16nM.DAC.d4.n2
GSM4007172	THP1.80nM.DAC.d4.n2
GSM4007173	THP1.400nM.DAC.d4.n2
GSM4007174	THP1.2000nM.DAC.d4.n2
GSM4007175	THP1.10000nM.DAC.d4.n2
GSM4007176	THP1.1000nM.GSK862.d4.n2
GSM4007177	THP1.10000nM.GSK477.d4.n2
GSM4007178	THP1.0nM.DMSO.d6.n2
GSM4007179	THP1.400nM.GSK032.d6.n2
GSM4007180	THP1.400nM.DAC.d6.n2
GSM4007181	NOMO1.0nM.DMSO.d1.n2
GSM4007182	NOMO1.400nM.GSK032.d1.n2
GSM4007183	NOMO1.400nM.DAC.d1.n2
GSM4007184	NOMO1.0nM.DMSO.d2.n2
GSM4007185	NOMO1.400nM.GSK032.d2.n2
GSM4007186	NOMO1.400nM.DAC.d2.n2
GSM4007187	NOMO1.1000nM.GSK862.d2.n2
GSM4007188	NOMO1.10000nM.GSK477.d2.n2
GSM4007189	NOMO1.0nM.DMSO.d4.n2
GSM4007190	NOMO1.3.2nM.GSK032.d4.n2
GSM4007191	NOMO1.16nM.GSK032.d4.n2
GSM4007192	NOMO1.80nM.GSK032.d4.n2
GSM4007193	NOMO1.400nM.GSK032.d4.n2
GSM4007194	NOMO1.2000nM.GSK032.d4.n2
GSM4007195	NOMO1.10000nM.GSK032.d4.n2
GSM4007196	NOMO1.3.2nM.DAC.d4.n2
GSM4007197	NOMO1.16nM.DAC.d4.n2
GSM4007198	NOMO1.80nM.DAC.d4.n2
GSM4007199	NOMO1.400nM.DAC.d4.n2
GSM4007200	NOMO1.2000nM.DAC.d4.n2
GSM4007201	NOMO1.10000nM.DAC.d4.n2
GSM4007202	NOMO1.1000nM.GSK862.d4.n2
