GSM	cell_line	drug	dose	day	replicate
GSM4007051	MV411	DMSO	0	1	1
GSM4007052	MV411	GSK032	400	1	1
GSM4007053	MV411	DAC	400	1	1
GSM4007054	MV411	DMSO	0	2	1
GSM4007055	MV411	GSK032	400	2	1
GSM4007056	MV411	DAC	400	2	1
GSM4007057	MV411	GSK862	1000	2	1
GSM4007058	MV411	GSK477	10000	2	1
GSM4007059	MV411	DMSO	0	4	1
GSM4007060	MV411	GSK032	3.2	4	1
GSM4007061	MV411	GSK032	16	4	1
GSM4007062	MV411	GSK032	80	4	1
GSM4007063	MV411	GSK032	400	4	1
GSM4007064	MV411	GSK032	2000	4	1
GSM4007065	MV411	GSK032	10000	4	1
GSM4007066	MV411	DAC	3.2	4	1
GSM4007067	MV411	DAC	16	4	1
GSM4007068	MV411	DAC	80	4	1
GSM4007069	MV411	DAC	400	4	1
GSM4007070	MV411	DAC	2000	4	1
GSM4007071	MV411	DAC	10000	4	1
GSM4007072	MV411	GSK862	1000	4	1
GSM4007073	MV411	GSK477	10000	4	1
GSM4007074	MV411	DMSO	0	6	1
GSM4007075	MV411	GSK032	400	6	1
GSM4007076	MV411	DAC	400	6	1
GSM4007077	THP1	DMSO	0	1	1
GSM4007078	THP1	GSK032	400	1	1
GSM4007079	THP1	DAC	400	1	1
GSM4007080	THP1	DMSO	0	2	1
GSM4007081	THP1	GSK032	400	2	1
GSM4007082	THP1	DAC	400	2	1
GSM4007083	THP1	GSK862	1000	2	1
GSM4007084	THP1	GSK477	10000	2	1
GSM4007085	THP1	DMSO	0	4	1
GSM4007086	THP1	GSK032	3.2	4	1
GSM4007087	THP1	GSK032	16	4	1
GSM4007088	THP1	GSK032	80	4	1
GSM4007089	THP1	GSK032	400	4	1
GSM4007090	THP1	GSK032	2000	4	1
GSM4007091	THP1	GSK032	10000	4	1
GSM4007092	THP1	DAC	3.2	4	1
GSM4007093	THP1	DAC	16	4	1
GSM4007094	THP1	DAC	80	4	1
GSM4007095	THP1	DAC	400	4	1
GSM4007096	THP1	DAC	2000	4	1
GSM4007097	THP1	DAC	10000	4	1
GSM4007098	THP1	GSK862	1000	4	1
GSM4007099	THP1	GSK477	10000	4	1
GSM4007100	THP1	DMSO	0	6	1
GSM4007101	THP1	GSK032	400	6	1
GSM4007102	THP1	DAC	400	6	1
GSM4007103	NOMO1	DMSO	0	1	1
GSM4007104	NOMO1	GSK032	400	1	1
GSM4007105	NOMO1	DAC	400	1	1
GSM4007106	NOMO1	DMSO	0	2	1
GSM4007107	NOMO1	GSK032	400	2	1
GSM4007108	NOMO1	DAC	400	2	1
GSM4007109	NOMO1	GSK862	1000	2	1
GSM4007110	NOMO1	GSK477	10000	2	1
GSM4007111	NOMO1	DMSO	0	4	1
GSM4007112	NOMO1	GSK032	3.2	4	1
GSM4007113	NOMO1	GSK032	16	4	1
GSM4007114	NOMO1	GSK032	80	4	1
GSM4007115	NOMO1	GSK032	400	4	1
GSM4007116	NOMO1	GSK032	2000	4	1
GSM4007117	NOMO1	GSK032	10000	4	1
GSM4007118	NOMO1	DAC	3.2	4	1
GSM4007119	NOMO1	DAC	16	4	1
GSM4007120	NOMO1	DAC	80	4	1
GSM4007121	NOMO1	DAC	400	4	1
GSM4007122	NOMO1	DAC	2000	4	1
GSM4007123	NOMO1	DAC	10000	4	1
GSM4007124	NOMO1	GSK862	1000	4	1
GSM4007125	NOMO1	GSK477	10000	4	1
GSM4007126	NOMO1	DMSO	0	6	1
GSM4007127	NOMO1	GSK032	400	6	1
GSM4007128	NOMO1	DAC	400	6	1
GSM4007129	MV411	DMSO	0	1	2
GSM4007130	MV411	GSK032	400	1	2
GSM4007131	MV411	DAC	400	1	2
GSM4007132	MV411	DMSO	0	2	2
GSM4007133	MV411	GSK032	400	2	2
GSM4007134	MV411	DAC	400	2	2
GSM4007135	MV411	GSK862	1000	2	2
GSM4007136	MV411	GSK477	10000	2	2
GSM4007137	MV411	DMSO	0	4	2
GSM4007138	MV411	GSK032	3.2	4	2
GSM4007139	MV411	GSK032	16	4	2
GSM4007140	MV411	GSK032	80	4	2
GSM4007141	MV411	GSK032	400	4	2
GSM4007142	MV411	GSK032	2000	4	2
GSM4007143	MV411	GSK032	10000	4	2
GSM4007144	MV411	DAC	3.2	4	2
GSM4007145	MV411	DAC	16	4	2
GSM4007146	MV411	DAC	80	4	2
GSM4007147	MV411	DAC	400	4	2
GSM4007148	MV411	DAC	2000	4	2
GSM4007149	MV411	DAC	10000	4	2
GSM4007150	MV411	GSK862	1000	4	2
GSM4007151	MV411	GSK477	10000	4	2
GSM4007152	MV411	DMSO	0	6	2
GSM4007153	MV411	GSK032	400	6	2
GSM4007154	MV411	DAC	400	6	2
GSM4007155	THP1	DMSO	0	1	2
GSM4007156	THP1	GSK032	400	1	2
GSM4007157	THP1	DAC	400	1	2
GSM4007158	THP1	DMSO	0	2	2
GSM4007159	THP1	GSK032	400	2	2
GSM4007160	THP1	DAC	400	2	2
GSM4007161	THP1	GSK862	1000	2	2
GSM4007162	THP1	GSK477	10000	2	2
GSM4007163	THP1	DMSO	0	4	2
GSM4007164	THP1	GSK032	3.2	4	2
GSM4007165	THP1	GSK032	16	4	2
GSM4007166	THP1	GSK032	80	4	2
GSM4007167	THP1	GSK032	400	4	2
GSM4007168	THP1	GSK032	2000	4	2
GSM4007169	THP1	GSK032	10000	4	2
GSM4007170	THP1	DAC	3.2	4	2
GSM4007171	THP1	DAC	16	4	2
GSM4007172	THP1	DAC	80	4	2
GSM4007173	THP1	DAC	400	4	2
GSM4007174	THP1	DAC	2000	4	2
GSM4007175	THP1	DAC	10000	4	2
GSM4007176	THP1	GSK862	1000	4	2
GSM4007177	THP1	GSK477	10000	4	2
GSM4007178	THP1	DMSO	0	6	2
GSM4007179	THP1	GSK032	400	6	2
GSM4007180	THP1	DAC	400	6	2
GSM4007181	NOMO1	DMSO	0	1	2
GSM4007182	NOMO1	GSK032	400	1	2
GSM4007183	NOMO1	DAC	400	1	2
GSM4007184	NOMO1	DMSO	0	2	2
GSM4007185	NOMO1	GSK032	400	2	2
